,gender,age,location,status,username,ethnicity,occupation,description,match_age,children,orientation,religion,smoking,drinking,intent,AFGHANISTAN
7953,male,50 y.o.,"Santa Clara, Cuba",single,yerao73,white,Operador de prensa,Soy un hombre soltero .vivo en cuba deseo conocer una mujer japonesa para una relaci??n seria y posible matrimonio,from 30 to 86,no children,Straight,Christian,non-smoker,never,Serious Relationship,CYPRUS
8040,male,58 y.o.,"Havana, Cuba",single,Juan33,white,-,-,from 35 to 60,want children,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship",CYPRUS
8378,female,42 y.o.,"La Habana, Cuba",single,Indira,mixed,Cajera dependiente,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,never,"Romance, Serious Relationship, Marriage",CYPRUS
8408,female,39 y.o.,Cuba,single,Yusmila,hispanic,Estilista,Soy una mujer ser??a y divertida en ocasiones necesarias,from 30 to 50,1-2 living with me,Straight,Other,non-smoker,occasional drinker,Friendship,CYPRUS
8409,male,52 y.o.,"La Habana, Cuba",single,fercho1971,hispanic,-,-,from 22 to 38,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",CYPRUS
8441,male,39 y.o.,"Las Tunas, Cuba",divorced,Nelson8409,white,Tecnico en Redes,"Soy tranquilo, trabajador , hogare??o , alegre...",from 28 to 40,1-2 living elsewhere,Straight,Atheist,non-smoker,never,Serious Relationship,CYPRUS
8528,male,40 y.o.,"La Habana, Cuba",single,Henrylazagadominguez,hispanic,-,-,from 30 to 40,want children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,CYPRUS
8585,male,33 y.o.,"Havana, Cuba",single,Pavell,white,Inform??ticos,-,from 19 to 86,no children,Straight,Christian,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",CYPRUS
8590,male,34 y.o.,"San Juan y Mart??nez, Cuba",single,Alex89,white,english teacher,-,from 19 to 86,1-2 living with me,Straight,Other,social smoker,social drinker,"Fun, Romance",CYPRUS
8622,female,39 y.o.,"La Habana, Cuba",single,Offline,mixed,Economista,-,from 19 to 86,no children,Straight,Other,non-smoker,social drinker,Friendship,CYPRUS
8641,male,32 y.o.,"Santa Clara, Cuba",single,ihosvany_cuba,white,Network,-,from 19 to 40,no children,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",CYPRUS
8692,male,37 y.o.,"Holgu??n, Cuba",single,DavidCuba,white,Lic Comunicacion Social,-,from 20 to 33,1-2 living elsewhere,Straight,Other,social smoker,social drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",CYPRUS
8732,male,66 y.o.,"Villa Clara, Cuba",divorced,Ignaciobo,white,Gu??a de turismo,-,from 40 to 60,1-2 living elsewhere,Straight,Christian,non-smoker,occasional drinker,Marriage,CYPRUS
8855,male,43 y.o.,"Meneses, Cuba",single,freddyespinosa,white,medico veterinario,-,from 25 to 50,want children,Straight,Other,non-smoker,never,"Friendship, Serious Relationship, Marriage",CYPRUS
9076,male,39 y.o.,"Camag??ey, Cuba",divorced,Hayle,white,-,-,from 19 to 33,want children,Straight,Other,non-smoker,social drinker,Marriage,CYPRUS
9112,female,40 y.o.,"Holgu??n, Cuba",separated,rosabel20,white,trabajadora social,"Soy una mujer divertida, alegre, simp??tica y rom??ntica. Busco una relacion seria y formal.",from 19 to 86,1-2 living with me,Straight,Other,social smoker,social drinker,"Serious Relationship, Marriage",CYPRUS
9181,female,59 y.o.,"Santiago de Cuba, Cuba",single,ojosbellos54,white,especialista capital humanos,"Mujer sencilla, honesta, emprendedora, nome gusta que me mientan.",from 49 to 62,1-2 living with me,Straight,Spiritual,non-smoker,occasional drinker,Serious Relationship,CYPRUS
9184,male,35 y.o.,"Santiago de Cuba, Cuba",single,Olbis,hispanic,Chef,-,from 27 to 40,want children,Straight,Other,social smoker,social drinker,Serious Relationship,CYPRUS
9287,female,51 y.o.,"Holgu??n, Cuba",single,Daysi4you,black,Ing Hidr??ulica,-,from 44 to 56,1-2 living with me,Straight,Atheist,non-smoker,occasional drinker,Serious Relationship,CYPRUS
9338,male,56 y.o.,"La Habana, Cuba",single,Lmm06,black,Musico,-,from 19 to 86,1-2 living elsewhere,Straight,Atheist,light smoker,occasional drinker,"Serious Relationship, Marriage",CYPRUS
9361,male,41 y.o.,"Ciego de ??vila, Cuba",divorced,AMolina,white,Trabajo por cuenta propia,-,from 25 to 35,no children,Straight,Atheist,non-smoker,occasional drinker,"Fun, Romance, Serious Relationship, Marriage",CYPRUS
9373,male,36 y.o.,"Cienfuegos, Cuba",single,julio87,hispanic,-,-,from 25 to 75,no children,Bisexual,Christian,non-smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",CYPRUS
9387,male,39 y.o.,"Havana, Cuba",single,yoandy16,white,-,-,from 19 to 45,no children,Straight,Other,non-smoker,never,Marriage,CYPRUS
9412,male,57 y.o.,"Las Tunas, Cuba",divorced,mandy6604,hispanic,Trabajo por Cuenta Propia,"Soy una persona que le concede gran valor a la sencill??z, m??s; perfecto es lo cabe en un coraz??n. Conciliar e intentar conciliar el amor es una de esas cosas sencillas, por ello estoy aqu??.",from 46 to 53,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,"Serious Relationship, Marriage",CYPRUS
9432,male,39 y.o.,"Holgu??n, Cuba",single,karelfacinf,white,Profesor,-,from 20 to 35,no children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",CYPRUS
9476,female,35 y.o.,"Holgu??n, Cuba",in relationship,Susanilla,white,maestra,-,from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,Friendship,CYPRUS
9503,male,34 y.o.,"Holgu??n, Cuba",single,Darius,hispanic,Informatico,-,from 19 to 34,no children,Straight,Christian,social smoker,social drinker,"Fun, Romance",CYPRUS
9533,male,31 y.o.,"Las Tunas, Cuba",single,SrEd,white,Ingeniero,-,from 25 to 30,want children,Straight,Atheist,non-smoker,social drinker,"Friendship, Romance, Serious Relationship",CYPRUS
9547,female,58 y.o.,"La Habana, Cuba",separated,Marimar52,mixed,Empresaria,"Soy agradable , ser??a, sencilla , femenina , u con deseos d compartir contigo si me encuentras .",from 45 to 60,1-2 living with me,Bisexual,Atheist,non-smoker,never,"Fun, Friendship",CYPRUS
9630,male,35 y.o.,"La Lisa, Cuba",single,Yaniel89,white,Contratista,-,from 19 to 40,no children,Straight,Atheist,social smoker,social drinker,"Fun, Romance, Serious Relationship",CYPRUS
9731,female,39 y.o.,"La Habana, Cuba",single,Mildre,mixed,Dentista,"Responsable, seria, cari??osa, respetuosa, me gusta bailar y compartir con mi pareja. Amo mi profesion.",from 19 to 86,no children,Straight,Atheist,non-smoker,never,Serious Relationship,CYPRUS
9791,male,36 y.o.,"La Habana, Cuba",single,Nelsonrb,mixed,Director Capital Humano (Abogado),"Soy una persona Romantica, Agradable, Sincera y bastante maduro para mantener una relaci??n estable",from 19 to 86,no children,Straight,Atheist,non-smoker,never,Serious Relationship,CYPRUS
9867,male,30 y.o.,"La Habana, Cuba",single,lffOzuna,hispanic,gastronomico,-,from 20 to 50,no children,Straight,Other,light smoker,occasional drinker,Friendship,CYPRUS
9886,female,32 y.o.,"Santiago de Cuba, Cuba",single,yailin28,hispanic,Bibliotecaria,"Soy una persona, responsable, cari??osa , muy sencible, busco relacion estable.",from 35 to 60,no children,Straight,Atheist,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",CYPRUS
9890,female,52 y.o.,"Camag??ey, Cuba",single,Lunanueva,hispanic,Independiente,"No soy una mujer, soy gay, una transexual y no estoy operada.",from 19 to 86,no children,Straight,Atheist,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",CYPRUS
9897,female,40 y.o.,"La Habana, Cuba",single,Anastasia36,white,Abogada,-,from 35 to 47,1-2 living with me,Straight,Atheist,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",CYPRUS
9923,female,40 y.o.,"Santiago de Cuba, Cuba",divorced,Adis26,hispanic,-,Me gusta algo serio y. Formal.,from 19 to 86,1-2 living with me,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",CYPRUS
9948,male,31 y.o.,"Santa Clara, Cuba",single,JFelipe,hispanic,Tec. Recursos Humanos,-,from 27 to 35,1-2 living elsewhere,Straight,Atheist,light smoker,social drinker,"Friendship, Romance, Serious Relationship, Marriage",CYPRUS
9970,male,43 y.o.,"Caibari??n, Cuba",divorced,Yasmany,white,Carpintero,-,from 25 to 39,1-2 living elsewhere,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",CYPRUS
9974,male,49 y.o.,"Camag??ey, Cuba",single,Yosmanis,hispanic,Autoempleo,-,from 24 to 60,1-2 living with me,Straight,Other,non-smoker,occasional drinker,Serious Relationship,CZECHIA
10021,male,37 y.o.,"La Lisa, Cuba",single,aac2786,white,Informatico,-,from 22 to 32,no children,Straight,Atheist,non-smoker,never,"Romance, Serious Relationship",CZECHIA
10067,female,57 y.o.,"C??rdenas, Cuba",divorced,Nyck,white,Farmac??utica,-,from 45 to 70,1-2 living with me,Straight,Spiritual,non-smoker,never,Romance,CZECHIA
10099,female,36 y.o.,Cuba,single,Yetona,hispanic,contadora,-,from 28 to 60,1-2 living with me,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship",CZECHIA
10162,female,43 y.o.,"La Habana, Cuba",single,Mary39,black,Enfermera,-,from 45 to 65,no children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,CZECHIA
10165,male,51 y.o.,"San Jos?? de las Lajas, Cuba",single,conradolopezllopiz,native american,"T??cnico en la promoci??n, divulgaci??n y dise??o de proyectos art??sticos y socioculturales","1,78 de estatura. 78 kg de peso. Conjetura deportiva, normal. ojos color miel, pelo casta??o",from 30 to 40,want children,Straight,Christian,non-smoker,never,Marriage,CZECHIA
10225,female,26 y.o.,"La Habana, Cuba",single,Dani7,mixed,-,-,from 20 to 40,no children,Bisexual,Buddhist,non-smoker,social drinker,Serious Relationship,CZECHIA
10228,male,57 y.o.,"La Habana, Cuba",single,pjgonz,hispanic,investigador,-,from 19 to 86,1-2 living elsewhere,Homosexual,Atheist,social smoker,social drinker,Serious Relationship,CZECHIA
10230,female,32 y.o.,"Cienfuegos, Cuba",divorced,Rosaly,mixed,Cuenta propia,-,from 28 to 45,1-2 living with me,Straight,Christian,non-smoker,never,"Serious Relationship, Marriage",CZECHIA
10232,male,45 y.o.,"San Miguel del Padr??n, La Habana, Cuba",single,willywilliams,hispanic,informatico,soy un chico super ok no me gusta el enga??o ni los amigoas falzos,from 20 to 40,want children,Straight,Other,non-smoker,never,"Fun, Friendship, Romance, Serious Relationship, Marriage",CZECHIA
10234,male,34 y.o.,"Matanzas, Cuba",single,Eliecer900319,hispanic,Seguridad,-,from 22 to 43,no children,Straight,Other,light smoker,occasional drinker,Serious Relationship,CZECHIA
10288,female,42 y.o.,"La Habana, Cuba",single,yumi38,hispanic,Artesana,-,from 19 to 86,1-2 living with me,Straight,Other,non-smoker,social drinker,"Serious Relationship, Marriage",CZECHIA
10318,female,52 y.o.,"La Habana, Cuba",single,Belkita1971,hispanic,Maestra,-,from 50 to 60,1-2 living elsewhere,Straight,Other,non-smoker,occasional drinker,Serious Relationship,CZECHIA
10362,female,47 y.o.,"Camag??ey, Cuba",single,ClaudiaV,white,Contador,-,from 19 to 86,1-2 living elsewhere,Straight,Other,non-smoker,social drinker,Serious Relationship,CZECHIA
10366,female,44 y.o.,"La Habana, Cuba",divorced,Danet,mixed,Gastronomica,Soy una mujer independiente amante de la sinceridad del ser humano,from 19 to 86,no children,Straight,Other,non-smoker,occasional drinker,Serious Relationship,CZECHIA
10480,female,45 y.o.,"La Habana, Cuba",divorced,Lafavoritacharly,hispanic,Eduardora,"Soy una persona un poco t??mida me gusta compartir, muy so??adora cari??osa enamorada de la vida por eso pienso q ay q aprovecharla.",from 35 to 76,1-2 living with me,Straight,Other,non-smoker,occasional drinker,Serious Relationship,DEMOCRATIC REPUBLIC OF THE CONGO
10563,male,58 y.o.,"Santiago de Cuba, Cuba",divorced,Roberto6506,mixed,Ingeniero Qu??mico,-,from 19 to 86,1-2 living elsewhere,Straight,Atheist,non-smoker,social drinker,Serious Relationship,DENMARK
10611,female,37 y.o.,"Bayamo, Cuba",single,DianaRosa,white,Licenciada Ciencias Inform??ticas,-,from 19 to 86,no children,Straight,Other,non-smoker,never,Serious Relationship,DENMARK
10640,female,64 y.o.,"Santiago de Cuba, Cuba",widowed,Lisy59,mixed,Jubilada,"Soy rom??ntica, no me gustan las mentiras,me gustan mucho las fiesta ,etc",from 58 to 77,1-2 living with me,Straight,Spiritual,non-smoker,occasional drinker,"Serious Relationship, Marriage",DENMARK
10642,female,46 y.o.,"Havana, Cuba",single,Soniagarcia,hispanic,Medico,-,from 45 to 65,1-2 living with me,Straight,Christian,non-smoker,occasional drinker,Serious Relationship,DENMARK
10796,female,36 y.o.,"La Habana, Cuba",divorced,Danacuba,hispanic,Restauradora de monumentos,-,from 35 to 45,1-2 living with me,Straight,Other,non-smoker,social drinker,Serious Relationship,DENMARK
10812,male,56 y.o.,"Bayamo, Cuba",single,Yiqui35,mixed,Profesor,"Soy un hombre sencillo, optimista, que le gusta la ciencia y busca una relacion seria con una mujer seria, leal y comprensiva.",from 30 to 40,want children,Straight,Spiritual,non-smoker,never,"Serious Relationship, Marriage",DENMARK
10845,male,55 y.o.,"Vi??ales, Cuba",divorced,Migue123,white,-,-,from 40 to 55,no children,Straight,Spiritual,social smoker,social drinker,Serious Relationship,DENMARK
10976,female,62 y.o.,"Camag??ey, Cuba",single,Pau62,black,Jubilada,-,from 19 to 86,1-2 living with me,Straight,Spiritual,non-smoker,never,Friendship,DENMARK
11025,female,64 y.o.,"Santa Clara, Cuba",single,caridadc970,mixed,Jubilada lo,busco y quiero un hombre que comprenda mis razone y que me apoye que me brinde ayuda y compa????a que sea comprometido con migo y desee una relaci??n a largo plazo y me brinde seguridad y felicidad que sea amoroso y este seguro lo que quiere y desee buscame si cree que te mereces todo mi amor ????,from 60 to 70,more than 2 living elsewhere,Straight,Other,non-smoker,never,Marriage,DENMARK
11049,female,39 y.o.,"Santiago de Cuba, Cuba",single,Yairien,white,Econ??mica,-,from 19 to 86,1-2 living with me,Straight,Christian,non-smoker,never,Marriage,DENMARK
11084,male,34 y.o.,"Havana, Cuba",single,Lachy24,white,T??cnico Electr??nico,-,from 19 to 35,want children,Straight,Other,social smoker,occasional drinker,"Romance, Serious Relationship, Marriage",DENMARK
11153,male,48 y.o.,"Las Tunas, Cuba",single,Pinocho7509,hispanic,Licenciado en traumatolog??a,-,from 35 to 50,1-2 living elsewhere,Straight,Atheist,non-smoker,occasional drinker,"Serious Relationship, Marriage",DENMARK
11156,male,51 y.o.,"Holgu??n, Cuba",divorced,Miguelcuba,white,M??sico profesional,"Soy alegre, me gusta compartir con amigos me gusta cantar, cocinar, pasear, ir a la playa,",from 35 to 52,1-2 living elsewhere,Straight,Spiritual,light smoker,occasional drinker,"Fun, Friendship",DENMARK
11194,male,54 y.o.,"La Habana, Cuba",divorced,Abel258,white,Artista,-,from 25 to 39,want children,Straight,Other,non-smoker,occasional drinker,"Serious Relationship, Marriage",DENMARK
11293,male,36 y.o.,"Holgu??n, Cuba",single,Yasmani85,hispanic,-,"Soy un hombre sencillo, alegre, apasionado, divertido, me gusta bailar, escuchar m??sica, ver series inteligentes, me encanta el autodesarrollo, no me gusta la hipocres??a, ni la gente mentirosa, soy leal a mis amigos y a mi familia, para m??, la familia es lo m??s importante, me gusta viajar, estudiar, leer de vez en cuando, hacer ejercicios.",from 22 to 36,want children,Straight,Other,non-smoker,occasional drinker,"Friendship, Romance, Serious Relationship, Marriage",DENMARK
11424,male,57 y.o.,"Gibara, Cuba",single,345,white,-,Soy alto delgado mido 1.80 de ojos casta??os soy cari??oso amable respetuoso sincero honesto etc,from 40 to 58,no children,Straight,Other,non-smoker,never,Serious Relationship,DENMARK
11426,female,23 y.o.,"La Habana, Cuba",single,Carmen90,hispanic,Mesera en un bar,Soy madre soltera vivo sola trabajo y estudio pediatria,from 25 to 86,want children,Straight,Other,non-smoker,never,"Serious Relationship, Marriage",DENMARK
11536,male,34 y.o.,"Las Tunas, Cuba",single,Leonelrueda,white,-,-,from 19 to 35,1-2 living with me,Straight,Atheist,light smoker,occasional drinker,"Fun, Friendship, Romance, Serious Relationship, Marriage",DENMARK
11606,female,50 y.o.,"Santiago de Cuba, Cuba",single,viginia73,hispanic,camarera,-,from 52 to 68,1-2 living elsewhere,Straight,Other,non-smoker,never,Serious Relationship,DENMARK
11616,male,55 y.o.,"Holgu??n, Cuba",divorced,Adal68,white,Artista,"...soy muy trabajador y me gusta llevar adelante buenos proyectos de vida, me gusta el campo y compartir buenos momentos con la mujer adecuada...",from 19 to 86,more than 2 living elsewhere,Straight,Christian,social smoker,social drinker,"Friendship, Serious Relationship, Marriage",DENMARK
11652,male,40 y.o.,"Havana, Cuba",single,Jeanayes,hispanic,-,"Soy un chico de 40 a??os, me gusta compartir con mis amistades, salir a las fiestas y compartir siempre que sea sanamente, no me gustan las mentiras no decirlas tampoco, soy amable y educado, soy de esos chicos que valora mucho la amistad siempre y cuando sea sincera y no venga en busca de algo material o sacar provecho de ello. soy muy curioso me gusta siempre saber todo o casi todo de la persona con quien estoy empezando una nueva amistad. Siempre aqu?? tendr??s un buen amigo para lo que te haga falta.",from 25 to 35,want children,Straight,Other,non-smoker,never,"Friendship, Romance, Serious Relationship, Marriage",DENMARK
11681,female,64 y.o.,"Havana, Cuba",single,Dumois441,black,Engineer agronomist retired,-,from 60 to 75,no children,Straight,Christian,non-smoker,never,Serious Relationship,DENMARK
